PMID;Title;Abstract;LCR;Function;Hard;Category
1343779;Sequence analysis of a mosquito ribosomal protein rpL8 gene and its upstream regulatory region.;"The gene encoding Aedes albopictus ribosomal protein L8 was isolated using a cDNA probe. Based on the deduced amino acid sequence, rpL8 has a mass of 28,605 Da, a pI of 11.97, and contains 9.6% Arg and 11.9% Lys. The rpL8 gene spans 1229 nucleotides, and contains three exons measuring 73, 150, and 648 nucleotides. The first intron is 293 nucleotides long and interrupts an 85-nucleotide untranslated leader sequence. The AUG codon is located 12 nucleotides downstream of the 5'-end of the second exon. Separating the second and third exon is a 65-nucleotide intron. The major transcription initiation site, identified by primer extension and polymerase stop reactions, mapped 378 nucleotides upstream from the AUG start codon; minor initiation sites were also detected. The DNA sequence upstream of the rpL8 gene was T-rich, but conventional TATA and CAAT boxes were absent. This is the first molecular analysis of a mosquito ribosomal protein gene.";threonine;-;-;LCR_without_function
10575541;Induction of globin synthesis in K562 cells is associated with differential expression of transcription factor genes.;Globin gene switching may be mediated by proteins expressed during different stages of development. Their identification may clarify the mechanisms of the conversion from fetal to adult globin production and lead to new approaches to reversing or retarding the gamma- to beta-globin gene switch. To explore this hypothesis, K562 erythroleukemia cells were induced to differentiate with 1.25, 2.5, and 5 mM sodium butyrate and gene expression was studied after 24, 48, and 72 h. Erythroid differentiation was verified by benzidine staining and by measuring the activity of a transduced A gamma-globin gene promoter linked to a luciferase reporter gene. Using differential display polymerase chain reaction (PCR), total mRNA extracted from induced cells at each time point of induction was reverse transcribed in the presence of A, G, and C anchored primers and 16 arbitrary primers, calculated to amplify approximately 50% of expressed genes. Amplified mRNAs from induced and uninduced cells were separated in polyacrylamide gels and compared. More than 110 cDNA fragments which appeared to represent either up- or downregulated mRNA species in induced K562 cells were identified. Sixty-four of these fragments had more than 95% homology to known GenBank sequences. Seventeen fragments with characteristics of transcription factors were cloned. These include differentiation-related gene-1 (drg-1), PAX 3/forkhead transcription factor, HZF2 which is a Kruppel-related zinc finger protein, three helix-loop-helix proteins (heir-1, Id3, and GOS8), alpha-NAC transcriptional coactivator, LIM domain protein, and trophoblast hypoxia regulating factor. Differential expression of all 17 fragments over 72 h was confirmed by reverse Northern dot blot analysis, semiquantitative PCR using nested primers, and Northern analysis. Erythroid maturation in induced K562 cells is associated with differential expression of numerous genes. Some encode transcription factors that could effect the initiation of HbF synthesis. Almost half of the differentially expressed clones contained cDNAs of unidentified open reading frames and these are the object of continued study.;-;zinc finger;polyacrylamide;hard_3
2775249;Isolation and some properties of a cathepsin E type proteinase from rat spleen.;Cathepsin E (EC 3.4.23.--) has been isolated from rat spleen. The procedure included autolysis at pH 4.2 which was probably the reason why we isolated a polypeptide of Mr 42 kDa instead of 90 kDa. The latter is reported in the literature to be the Mr of native cathepsin E. The enzyme dissociates under reducing conditions in two identical monomers. In our preparation a mechanism different from reduction must be active producing the 42 kDa polypeptide. This enzyme was hard to distinguish from cathepsin D (EC 3.4.23.5.) which shows similar properties such as size, substrate specificity, stability in 6 M urea, and dependence of the activity on pH. The clear distinction between the two enzymes was proven on the basis of immunochemical reactions. Antibodies to both cathepsins, D and E, did not show any crossreaction with the nonrelated antigen.;-;antigen;-;hard_2
6546674;Neuroblastic medulloblastoma with abundant cytoplasmic actin filaments.;Routine light microscopic examination of a midline cerebellar medulloblastoma with unusual morphologic features disclosed features identical to those of classic medulloblastoma. Immunoperoxidase staining for glial fibrillary acidic protein (GFA), neurofilament protein (NF), and skeletal muscle actin showed diffuse cytoplasmic staining for actin, but not for GFA or NF. Ultrastructurally, the cells had many blunt cytoplasmic processes with abundant, often parallel, 4- to 5-nm filaments. Other ultrastructural features included scattered, clear, and dense-core vesicles (80 to 90 nm), microtubules, rare intermediate filaments, polyribosomes, rough endoplasmic reticulum, and cell junctions. Plasmalemmal densities and invaginations, occasionally associated with clusters of 40- to 50-nm clear vesicles, were encountered infrequently and were interpreted as immature or abortive synapses. The blunt cytoplasmic processes containing abundant actin filaments, several microtubules, and large clear vesicles resemble growth cones of developing nerve cells.;-;-;-;hard_0
207606;Regulation of cholesterol metabolism in rat adrenal mitochondria.;Addition of cholesterol to rat adrenal mitochondria resulted in a stimulation of pregnenolone synthesis. The slow step of the mitochondrial cholesterol side-chain cleavage reaction could be the interaction of the sterol with cytochrome P-450. The rate of cholesterol binding to this enzyme as observed spectroscopically correlated with the equilibration period (20 min) of the mitochondria and exogenous cholesterol required for maximal rates of pregnenolone synthesis. It is suggested that translocation of cholesterol between different sterol pools occurs within the mitochondria. Potential intracellular effectors that could be of importance in the movement or regulation of mitochondrial cholesterol include bivalent metallic ions, prostaglandins, cyclic nucleotides, polyamines and polylysine. Of the effectors studied, only calcium ions and polylysine markedly stimulated pregnenolone synthesis. These effectors might stimulate steroidogenesis by lateral displacement of cholesterol in the mitochondrial membrane into a compartment easily accessible to the cholesterol side-chain cleavage enzyme complex.;lysine;-;-;LCR_without_function
8896569;Germline mutations of the RET ligand GDNF are not sufficient to cause Hirschsprung disease.;Hirschsprung disease (HSCR, aganglionic megacolon) is a common congenital malformation leading to bowel obstruction, with an incidence of 1/5,000 live births. It is characterized by the absence of intrinsic ganglion cells in the myenteric and submucosal plexuses along variable lengths of the gastrointestinal tract. As enteric neurons are derived from the vagal neural crest, HSCR is regarded as a neurocristopathy. On the basis of a skewed sex-ratio (M/F = 4/1) and a risk to relatives much higher than the incidence in the general population, HSCR has long been regarded as a sex-modified multifactorial disorder. Accordingly, segregation analysis suggested an incompletely penetrant dominant inheritance in HSCR families with aganglionosis extending beyond the sigmoid colon. We and others have mapped a dominant gene for HSCR to chromosome 10q11.2 and have ascribed the disease to mutations in the RET proto-oncogene. However, the lack of genotype-phenotype correlation, the low penetrance and the sex-dependent effect of RET mutations supported the existence of one or more modifier gene(s) in familial HSCR. In addition, thus far, RET mutations only accounted for 50% and 15-20% of familial and sporadic HSCR patients, respectively. RET encodes a tyrosine kinase receptor whose ligand was unknown. Recently, the Glial cell line-derived neurotrophic factor (GDNF) has been identified to be a ligand for RET. Moreover, Gdnf-/- knockout mutant mice display congenital intestinal aganglionosis and renal agenesis, a phenotype very similar to the Ret-/- mouse. These data prompted us to hypothesize that mutations of the gene encoding GDNF could either cause or modulate the HSCR phenotype in some cases.;-;-;-;hard_0
497212;Mechanism of inhibition of hepatic protein synthesis in rats by the carcinogen, methylazoxymethanol acetate.;Treatment of rats with the carcinogen, methylazoxymethanol acetate, results in a rapid, marked inhibition of hepatic protein synthesis and disaggregation of polysomes. Studies were undertaken to learn the mechanism by which this carcinogen induces these effects in rat liver. The data show that the inhibition of endogenous protein synthesis is not due to an effect on the high speed supernatant 'factors' but rather at the level of the polysome, and that both free and membrane-bound polysomes are affected. Poly(U)-directed polyphenylalanine synthesis by native ribosomal subunits is greater in preparations isolated from rats treated with carcinogen than it is in controls. Moreover, the native ribosomal subunit fraction from treated livers in response to added rabbit globin mRNA is able to synthesize a protein similar in molecular weight to globin. These studies show that methylazoxymethanol acetate does not induce significant alterations of ribosomal subunits or of initiation factors and suggest that the inhibition of protein synthesis and disaggregation of polysomes may be the results of an alteration of cytoplasmic mRNA, or its association with ribosomes.;phenylalanine;-;-;LCR_without_function
10171173;Cardiopulmonary bypass.;There has been a recent renewed interest in certain aspects of cardiopulmonary bypass employing extracorporeal circulation.  Several areas have received special attention.  Among these is the institution of extracorporeal circulation using a percutaneous technique for circulatory assistance during high-risk percutaneous transluminal coronary angioplasty.  A national registry has been established to review and monitor results using this percutaneous technique.  Several recent developments in the delivery of cardioplegia during ischemic arrest have stimulated investigative efforts.  In particular, the delivery of cardioplegia in a retrograde manner through the coronary sinus has proved an effective and useful adjunct to myocardial protection during cardiopulmonary bypass with extracorporeal circulation.  A newer investigative technique employing only warm cardioplegia delivered primarily through the retrograde coronary sinus route seems to offer some promise in providing optimal myocardial protection while minimizing hemorrhagic complications and other cold-induced myocardial injury.  Because of concerns regarding blood transfusion-related communicable disease (eg, acquired immune deficiency syndrome and non-A, non-B hepatitis), there has been increasing research effort into postoperative hemorrhage related to cardiopulmonary bypass with extracorporeal circulation.  Specifically, various drugs that may serve as hemostatic adjuncts have been investigated extensively.  These drugs include aprotinin and desmopressin acetate.  Likewise, several studies have evaluated other drugs (mainly aspirin) that have a negative influence on postoperative hemostasis.  Additionally, there has been continued research interest in the activation of the inflammatory system during cardiopulmonary bypass.(ABSTRACT TRUNCATED AT 250 WORDS);-;-;-;hard_0
34466285;The whole-genome and expression profile analysis of WRKY and RGAs in Dactylis glomerata showed that DG6C02319.1 and DgWRKYs may cooperate in the immunity against rust.;Orchardgrass (Dactylis glomerata) is one of the top four perennial forages worldwide and, despite its large economic advantages, often threatened by various environmental stresses. WRKY transcription factors (TFs) can regulate a variety of plant processes, widely participate in plant responses to biotic and abiotic stresses, and are one of the largest gene families in plants. WRKYs can usually bind W-box elements specifically. In this study, we identified a total of 93 DgWRKY genes and 281 RGAs, including 65, 169 and 47 nucleotide-binding site-leucine-rich repeats (NBS-LRRs), leucine-rich repeats receptor-like protein kinases (LRR-RLKs), and leucine-rich repeats receptor-like proteins (LRR-RLPs), respectively. Through analyzing the expression of DgWRKY genes in orchardgrass under different environmental stresses, it was found that many DgWRKY genes were differentially expressed under heat, drought, submergence, and rust stress. In particular, it was found that the greatest number of genes were differentially expressed under rust infection. Consistently, GO and KEGG enrichment analysis of all genes showed that 78 DgWRKY TFs were identified in the plant-pathogen interaction pathway, with 59 of them differentially expressed. Through cis-acting element prediction, 154 RGAs were found to contain W-box elements. Among them, DG6C02319.1 (a member of the LRR-RLK family) was identified as likely to interact with 14 DGWRKYs. Moreover, their expression levels in susceptible plants after rust inoculation were first up-regulated and then down-regulated, while those in the resistant plants were always up-regulated. In general, DgWRKYs responded to both biotic stress and abiotic stress. DgWRKYs and RGAs may synergistically respond to the response of orchardgrass to rust. This study provides meaningful insight into the molecular mechanisms of WRKY proteins in orchardgrass.;leucine;transcription factor;-;LCR_with_function
1946372;The two-hybrid system: a method to identify and clone genes for proteins that interact with a protein of interest.;"We describe a method that detects proteins capable of interacting with a known protein and that results in the immediate availability of the cloned genes for these interacting proteins. Plasmids are constructed to encode two hybrid proteins. One hybrid consists of the DNA-binding domain of the yeast transcriptional activator protein GAL4 fused to the known protein; the other hybrid consists of the GAL4 activation domain fused to protein sequences encoded by a library of yeast genomic DNA fragments. Interaction between the known protein and a protein encoded by one of the library plasmids leads to transcriptional activation of a reporter gene containing a binding site for GAL4. We used this method with the yeast SIR4 protein, which is involved in the transcriptional repression of yeast mating type information. (i) We used the two-hybrid system to demonstrate that SIR4 can form homodimers. (ii) A small domain consisting of the C terminus of SIR4 was shown to be sufficient to mediate this interaction. (iii) We screened a library to detect hybrid proteins that could interact with the SIR4 C-terminal domain and identified SIR4 from this library. This approach could be readily extended to mammalian proteins by the construction of appropriate cDNA libraries in the activation domain plasmid.";-;nucleic acid binding;-;hard_2
9610763;Binding and functional effects of transcription factors Sp1 and Sp3 on the proximal human lecithin:cholesterol acyltransferase promoter.;Human lecithin:cholesterol acyltransferase (LCAT) circulates in plasma bound to high density lipoproteins (HDL) and modulates the rate by which cholesteryl ester is transported to the liver. So far, little is known about the regulation of the expression of the LCAT gene. In this study we have defined the cis-elements, identified the trans-acting factors and demonstrated their functional effects and significance in determining transcriptional activity of the proximal LCAT promoter. Using deletion mutants having 5' variable ends (from nucleotides -72 to -27), we have identified the presence of two non-consensus GC-rich regions that stimulate transcription in HepG2 and HeLa cells. These regions designated sites A (-29 to -47) and B (-49 to -65) contain the CCTCC core sequence which in electromobility shift analysis is critical for the formation of two DNA-protein complexes designated I and II. Site-directed mutagenesis suggests that both sites are equally important in promoter activity, and that cooperative interactions between both sites are not required for activity. Electromobility shift and supershift experiments using oligonucleotides spanning sites A and B identified Sp1 and Sp3 as the transcription factors interacting at these sites. To determine the significance and functional effects that Sp1 and Sp3 have in regulating LCAT promoter activity, we performed transfection experiments in Drosophila SL-2 cells as they lack endogenous Sp1 and Sp3. Sp1 but not Sp3 activates the human LCAT promoter and when Sp1 is co-transfected along with Sp3, Sp3 functions as a dose-dependent repressor of Sp1-mediated activation. These findings indicate that Sp1 is capable of transactivating a reporter gene linked to the LCAT promoter containing Sp binding sites and suggests that the levels of Sp3 or the nuclear Sp1/Sp3 ratio may play an important role in determining the transcriptional activity of the LCAT promoter in vivo.;cysteine;transcription factor;-;LCR_with_function
6809291;Bone acid phosphatase: tartrate-resistant acid phosphatase as a marker of osteoclast function.;Organ cultures of newborn mouse calvaria were used to test the hypothesis that tartrate-resistant acid phosphatase might serve as a biochemical marker for osteoclast function. When bone resorption was stimulated in vitro with either parathyroid hormone or 1,25(OH)2D3, there was a significant increase in both tartrate-resistant and tartrate-sensitivity acid phosphatase activity in the medium relative to cultured controls. Tartrate-resistant activity was localized histochemically primarily over the osteoclast and appeared as three distinct activity bands when electrophoresed on polyacrylamide gels. The tartrate-sensitive activity was found primarily associated with bone cells other than the osteoclast using histochemical techniques, and was resolved into five bands on polyacrylamide gels. The results obtained from biochemical assays, histochemical observations, and polyacrylamide gel electrophoresis suggest that bone resorption in vitro results in the release of tartrate-resistant acid phosphatase from osteoclasts and tartrate-sensitive acid phosphatase from other bone cells as well as osteoclasts. Tartrate-resistant acid phosphatases of bone may be suitable biochemical probes for osteoclasts function, but it will be necessary to achieve further purification in order to develop analytical methods with sufficient sensitivity and specificity (e.g., immunochemical) to ensure precise localization and quantitation.;-;phosphatase activity;polyacrylamide;hard_3
2695049;Monitoring poultry farms for Salmonella by drag-swab sampling and antigen-capture immunoassay.;"Drag-swab (DS) sampling, at the rate of four DS gauze pads per flock (house); modified culture procedures (novobiocin-supplemented plating media and delayed secondary selective enrichment); and Salmonella antigen-capture (SAC) technology were combined in screening one layer flock and 38 market-age broiler flocks. The results showed that low (negative) SAC sample-to-positive control (S/P) ratios were related to the negative culture recovery of Salmonella. Similarly, high (positive) S/P ratios were related to and indicative of positive culture recoveries. Extensive sampling and testing of 18 of the 39 flocks disclosed A) that five flocks with negative culture recoveries from feathers and freshly voided feces had essentially no positive DS-SAC values, and B) that 13 flocks with positive culture recoveries from feathers and/or fresh feces all had positive DS-SAC values.";-;antigen;-;hard_2
357416;Identification of three genes controlling production of new outer membrane pore proteins in Escherichia coli K-12.;Escherichia coli K-12 strains carrying mutations in the ompB gene or double mutations in the tolF and par genes lack the major outer membrane proteins 1a and 1b. These strains are deficient in the transport of small hydrophylic compounds and are multiply colicin resistant. When revertants of these strains were sought, a number of extragenic pseudorevertants were obtained which produced new outer membrane proteins. These new proteins could be divided into three classes by differences in electrophoretic mobility on polyacrylamide gels, by differing specificities for transport of small molecules, and by the identification of three different genetic loci for genes controlling their production. These genetic loci are designated as nmpA (at approximately 82.5 min on the E. coli K-12 genetic map), nmpB (8.6 min), and nmpC (12 min). The new proteins produced in strains carrying nmpA, nmpB, or nmpC mutations did not cross-react with antiserum against a mixture of proteins 1a and 1b, or with antiserum against phage-directed protein 2. Production of the new membrane proteins restored sensitivity to some of the colicins.;-;-;polyacrylamide;hard_1
6268841;Nucleotide sequences of the mRNA's encoding the vesicular stomatitis virus N and NS proteins.;The complete nucleotide sequences of the vesicular stomatitis virus (VSV) mRNA's encoding the N and NS proteins have been determined from the sequences of cDNA clones. The mRNA encoding the N protein is 1,326 nucleotides long, excluding polyadenylic acid. It contains an open reading frame for translation which extends from the 5'-proximal AUG codon to encode a protein of 422 amino acids. The N and mRNA is known to contain a major ribosome binding site at the 5'-proximal AUG codon and two other minor ribosome binding sites. These secondary sites have been located unambiguously at the second and third AUG codons in the N mRNA sequence. Translational initiation at these sites, if it in fact occurs, would result in synthesis of two small proteins in a second reading frame. The VSV and mrna encoding the NS protein is 815 nucleotides long, excluding polyadenylic acid, and encodes a protein of 222 amino acids. The predicted molecular weight of the NS protein (25,110) is approximately one-half of that predicted from the mobility of NS protein on sodium dodecyl sulfate-polyacrylamide gels. Deficiency of sodium dodecyl sulfate binding to a large negatively charged domain in the NS protein could explain this anomalous electrophoretic mobility.;-;-;polyacrylamide;hard_1
20225847;Influence of phosphocholine alkyl chain length on peptide-micelle interactions and micellar size and shape.;The interaction with biological membranes is of functional importance for many peptides and proteins. Structural studies on such membrane-bound biomacromolecules are often carried out in solutions containing small membrane-mimetic assemblies of detergent molecules. To investigate the influence of the hydrophobic chain length on the structure, diffusional and dynamical behavior of a peptide bound to micelles, we studied the binding of three peptides to n-phosphocholines with n ranging from 8 to 16. The peptides studied are the 15 residue antimicrobial peptide CM15, the 25-residue transmembrane helix 7 of yeast V-ATPase (TM7), and the 35-residue bacterial toxin LdrD. To keep the dimension of the peptide-membrane-mimetic assembly small, micelles are typically used when studying membrane-bound peptides and proteins, for example, by solution NMR spectroscopy. Since they are readily available in deuterated form most often sodium-dodecylsulfate (SDS) and dodecylphosphocholine (DPC) are used as the micelle-forming detergent. Using NMR, CD, and SAXS, we found that all phosphocholines studied form spherical micelles in the presence and absence of small bound peptides and the diameters of the micelles are basically unchanged upon peptide binding. The size of the peptide relative to the micelle determines to what extent the secondary structure can form. For small peptides (up to approximately 25 residues) the use of shorter chain phosphocholines is recommended for solution NMR studies due to the favorable spectral quality and since they are as well-structured as in DPC. In contrast, larger peptides are better structured in micelles formed by detergents with chain lengths longer than DPC.;-;helix;-;hard_2
2376909;[Assay of GBM antigen in urine and serum with an anti-human renal monoclonal antibody].;Using a monoclonal antibody (Mab-G3) recognizing glomerular basement membrane (GBM), we assayed GBM antigen (G3-Ag) in the urine and serum of renal disease patients by sandwich ELISA. The subjects included normal control (NOR), minimal change nephrotic syndrome (MCNS), IgA nephropathy (IgA), membranous nephropathy (MN), membranoproliferative glomerulonephritis (MPGN) and chronic renal failure (CRF). The urine and serum was used as the material. With urinary G3-Ag, there were no statistically significant differences among the NOR, MCNS, IgA, MN, MPGN and CRF groups. Although no correlation was observed with proteinuria, hematuria, serum creatinine, serum beta 2 microglobulin and urinary NAG, urinary G3-Ag showed a significant (p less than 0.05) increase in excretion in the group of progressive CRF patients with s-Cr more than 1.0 mg/dl/month as compared to the stationary CRF group with s-Cr less than 1.0 mg/dl/month. Serum G3-Ag showed lower values in almost all cases, and there were no significant differences among the renal disease groups. The above findings led us to believe that the assay of urinary G3-Ag was useful in determining the degree of GBM disorder. It was also presumed that assay of renal antigens in urine and serum with the respective anti-human renal monoclonal antibodies could be a new tool in diagnosing renal diseases.;-;antigen;-;hard_2
8441400;Wnt-1-inducing factor-1: a novel G/C box-binding transcription factor regulating the expression of Wnt-1 during neuroectodermal differentiation.;The Wnt-1 proto-oncogene is essential for proper development of the midbrain and is expressed in a spatially and temporally restricted manner during central nervous system development in mice. In vitro, the gene is specifically transcribed during the retinoic acid (RA)-induced neuroectodermal differentiation of the P19 line of embryonal carcinoma cells. The P19 cells differentiate into neurons, astrocytes, and fibroblast-like cells when treated with RA. Treatment of the cells with dimethyl sulfoxide leads to differentiation along mesodermal lineages, including skeletal and cardiac muscle. We have used the P19 cell line to study the Wnt-1 promoter and identify and characterize the transcription factor(s) that regulates the differentiation-specific transcription of Wnt-1 in RA-treated P19 cultures. Transient-transfection assays have revealed that a 230-bp region comprising positions -278 to -47 of the 5' upstream Wnt-1 sequence was sufficient to direct RA-specific transcription. This promoter fragment was shown to contain a binding site for a nuclear factor that was not detected in undifferentiated P19 stem cells or their dimethyl sulfoxide-treated derivatives but was induced in differentiating RA-treated cells. This factor was termed Wnt-1-inducing factor-1 (WiF-1). DNase I footprinting analysis has identified the G/C-rich WiF-1 binding site, and UV cross-linking studies have shown that WiF-1 is a protein with an M(r) of 65,000. WiF-1 binding activity was also detected in postpubertal mouse testis, the only tissue that expresses Wnt-1 in adults. Site-directed mutations that inhibited WiF-1 binding to the Wnt-1 promoter concomitantly abolished the activity of the promoter in RA-treated P19 cells. The active WiF-1 protein was purified by DNA affinity chromatography. Our data suggest that WiF-1 is a novel G/C box-binding transcription factor and support a physiological role for WiF-1 in the developmentally regulated expression of Wnt-1.;cysteine;transcription factor;-;LCR_with_function
10869477;Upregulation of the expression of Fas antigen and Fas ligand in a human submandibular gland ductal cell line by okadaic acid.;Fas receptor is a member of a superfamily of receptors characterized by cysteine-rich motifs in the extracellular domain of the molecule. Binding of Fas ligand to the receptor leads to receptor activation and the induction of intracellular signals that result in apoptotic cell death. In the present study, the expression of mRNA and proteins of Fas receptor and Fas ligand were examined in human submandibular gland ductal (HSG) cells treated with okadaic acid by reverse transcriptase-polymerase chain reaction (RT-PCR) and immunoblot analysis. Six hundred and eighty-two bp of the PCR product of Fas receptor mRNA was detected in HSG cells and a protein with an estimated molecular weight of 58,000 was expressed in HSG cells. Treatment of HSG cells with an agonistic anti-Fas monoclonal antibody resulted in death of HSG cells, indicating that the functional Fas receptor protein is expressed in HSG cells. Fas receptor protein expression stimulated by okadaic acid was elevated in a dose- and time-dependent manner, with maximal expression at 20 nM and 48 h treatment. Fas ligand mRNA was also detected constitutively in HSG cells by RT-PCR. Okadaic acid stimulated the expression of Fas ligand protein in HSG cells in a time-dependent manner, while the expression of the ligand was low in untreated HSG cells. The molecular weight of Fas ligand was estimated as 68,000. An antagonistic anti-Fas ligand monoclonal antibody prevented okadaic acid-induced death in HSG cells in a dose-dependent fashion as determined by WST-1 assay. The results indicate that the expression of Fas receptor and ligand is regulated by protein phosphatase(s) sensitive to okadaic acid and is involved in okadaic acid-induced apoptosis in HSG cells. The results also suggest that the Fas receptor-ligand system might regulate apoptosis in HSG cells. ;cysteine;antigen;-;LCR_with_function
7118817;The effect of beclomethasone diproprionate on bronchial hyperreactivity.;BDP is a useful treatment for asthma, but the mechanism of its action is unknown. Routine estimations of bronchial sensitivity to histamine aerosols showed that there was a decrease in bronchial hyperreactivity in 11 out of 14 cases given BDP as a routine treatment. The results are significant by Student's t-test (P less than .001) and reveal one mechanism by which BDP can act in the lungs.;-;-;-;hard_0
8662670;Interaction of mtTFB and mtRNA polymerase at core promoters for transcription of Xenopus laevis mtDNA.;Transcription of Xenopus laevis mitochondrial DNA requires mtRNA polymerase and a dissociable factor, xl-mtTFB, that is distinct from the HMG-box factor known as mtTFA. This paper presents the purification of mtTFB and characterizes its DNA binding properties. xl-mtTFB activity copurifies with a 40-kDa polypeptide on silver-stained protein gels. Activity can be recovered following elution of this 40-kDa polypeptide from an SDS-polyacrylamide gel. xl-mtTFB is capable of binding to DNA, but this binding is relatively nonspecific and is easily competed by heterologous DNA.;-;nucleic acid binding;polyacrylamide;hard_3
288056;De novo biosynthesis of an enzymatically active precursor form of bovine pancreatic RNase.;The de novo biosynthesis of RNase (ribonucleate 3'-pyrimidino-oligonucleotidohydrolase, EC 3.1.4.22) was studied in a cell-free rabbit reticulocyte translation system using a polyadenylylated fraction of mRNA isolated from bovine pancreas. Analysis of the [35S]methionine-labeled translation products of pancreas mRNA by polyacrylamide gel electrophoresis indicated the presence of several proteins, one of which corresponded to 16,500 daltons, or approximately 2800 daltons greater than native RNase A. This protein was specifically precipitated from the mixture of products by anti-RNase antibodies. Partial sequence determination of the NH2-terminal region of the anti-RNase antibody-precipitable species indicated that it is a precursor form of RNase A with 25 additional amino acids on its NH2 terminus. The precursor nature of the protein was confirmed by demonstration that a mixture of RNase A and a glycosylated form of the enzyme, RNase B, is formed when translation of the mRNA is conducted in the presence of dog pancreas membranes. Assay of the putative precursor form of RNase for catalytic activity with polycytidylic acid as substrate indicated that the protein has a specific enzymatic activity identical to that of native RNase A.;-;-;polyacrylamide;hard_1
8866740;Clinical and biological markers for outcome in schizophrenia: a review of a longitudinal follow-up study in Uppsala schizophrenia research project.;"During a 10-year period, 120 drugfree DSM-III-R schizophrenic patients were consecutively and unselectively admitted to a ward for young psychotic patients and subjected to a battery of examinations including symptomatology, cerebrospinal fluid (CSF)-biochemistry, computed tomography (CT)-scan, neurophysiologic and psychophysiologic (Electrodermal activity, EDA) parameters before antipsychotic treatment was initiated. After discharge, the patients were longitudinally followed with ratings of outcome (Strauss-Carpenters outcome scale) at years 1, 3, and 5 after index admission. The aim of the study was to find possible early markers for outcome in schizophrenia. At 5 years, 30% of the patients had a good outcome (total score > 13) and 15% a poor outcome (total score < 8). Poor premorbid adjustment and low level of education as well as negative schizophrenic symptomatology at index admission were associated with a poor outcome 5 years later. Positive symptomatology and a family history of schizophrenia did not predict outcome. Patients with a poor outcome (total score < 8) had a significantly more deviant CSF HVA/5-HIAA quotient than those with a very good outcome (total score > 15) as compared with healthy controls. Further, the CSF-peptides neuropeptide Y, dynorphin A, and CRF were predictable for outcome at the 5-year follow-up evaluation. Male schizophrenics who were ""nonresponders"" on the EDA test showed an almost 100% poor outcome, which was not found in females. In summary, several clinical and biological variables seem to have a predictable value for outcome in schizophrenia and, early identification of them might be a challenge for our future treatment strategies.";-;-;-;hard_0
11438649;Self-association of CIITA and its transactivation potential.;The major histocompatibility complex (MHC) class II transactivator (CIITA) regulates the expression of genes involved in the immune response, including MHC class II genes and the interleukin-4 gene. Interactions between CIITA and sequence-specific, DNA-binding proteins are required for CIITA to function as an activator of MHC class II genes. CIITA also interacts with the coactivators CBP (also called p300), and this interaction leads to synergistic activation of MHC class II promoters. Here, we report that CIITA forms complexes with itself and that a central region, including the GTP-binding domain is sufficient for self-association. Additionally, this central region interacts with the C-terminal leucine-rich repeat as well as the N-terminal acidic domain. LXXLL motifs residing in the GTP-binding domain are essential for self-association. Finally, distinct differences exist among various CIITA mutant proteins with regard to activation function, subcellular localization, and association with wild-type protein and dominant-negative potential. ;leucine;nucleic acid binding;-;LCR_with_function
15858016;Sequence variability, gene structure, and expression of full-length human endogenous retrovirus H.;"Recently, we identified and classified 926 human endogenous retrovirus H (HERV-H)-like proviruses in the human genome. In this paper, we used the information to, in silico, reconstruct a putative ancestral HERV-H. A calculated consensus sequence was nearly open in all genes. A few manual adjustments resulted in a putative 9-kb HERV-H provirus with open reading frames (ORFs) in gag, pro, pol, and env. Long terminal repeats (LTRs) differed by 1.1%, indicating proximity to an integration event. The gag ORF was extended upstream of the normal myristylation start site. There was a long leader (including a ""pre-gag"" ORF) region positioned like the N terminus of murine leukemia virus (MLV) ""glyco-Gag,"" potentially encoding a proline- and serine-rich domain remotely similar to MLV pp12. Another ORF, starting inside the 5' LTR, had no obvious similarity to known protein domains. Unlike other hitherto described gammaretroviruses, the reconstructed Gag had two zinc finger motifs. Alternative splicing of sequences related to the HERV-H consensus was confirmed using dbEST data. env transcripts were most prevalent in colon tumors, but also in normal testis. We found no evidence for full length env transcripts in the dbEST. HERV-H had a markedly skewed nucleotide composition, disfavoring guanine and favoring cytidine. We conclude that the HERV-H consensus shared a gene arrangement common to gammaretroviruses with gag separated by stop codon from pro-pol in the same reading frame, while env resides in another reading frame. There was also alternative splicing. HERV-H consensus yielded new insights in gammaretroviral evolution and will be useful as a model in studies on expression and function. ";serine;zinc finger;-;LCR_with_function
